Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Sudesh,1,h,sh,S
Dhansukh,1,h,kh,D
Onella,2,a,la,O
Rajdulari,1,i,ri,R
Urshita,2,a,ta,U
Vishal,1,l,al,V
Ekavir,1,r,ir,E
Hasanthi,2,i,hi,H
Thangarajan,1,n,an,T
Suketu,1,u,tu,S
Jerusha,2,a,ha,J
Usra,2,a,ra,U
Lagan,1,n,an,L
Abhimand,1,d,nd,A
Anavi,2,i,vi,A
Milan,1,n,an,M
Saanvi,2,i,vi,S
Kamaraja,1,a,ja,K
Pitambar,1,r,ar,P
Mahalakshmi,2,i,mi,M
Vallabhendra,1,a,ra,V
Nirav,1,v,av,N
"Omrao, Umrao",1,o,ao,O
Jagadbandu,1,u,du,J
Urna,2,a,na,U
Mandhatri,1,i,ri,M
Amitbikram,1,m,am,A
Nidhipa,2,a,pa,N
Raja,1,a,ja,R
Rukmini,2,i,ni,R
Fullara,2,a,ra,F
Akshath,1,h,th,A
Shadab,1,b,ab,S
Gurpreet,1,t,et,G
Swarnima,2,a,ma,S
Indu,2,u,du,I
Rituparna,2,a,na,R
Siddhartha,1,a,ha,S
Chakradev,1,v,ev,C
Induhasan,1,n,an,I
Gopichand,1,d,nd,G
Ujagar,1,r,ar,U
Nishok,1,k,ok,N
Aakash,1,h,sh,A
Kevalkishore,1,e,re,K
Amod,1,d,od,A
Hasina,2,a,na,H
Viveka,2,a,ka,V
Bhagyalakshmi,2,i,mi,B
Kareem,1,m,em,K
Dwaipayan,1,n,an,D
Gagana,2,a,na,G
Loknath,1,h,th,L
Paras,1,s,as,P
Abhidi,1,i,di,A
Vasanti,2,i,ti,V
Kantimoy,1,y,oy,K
Vedi,2,i,di,V
Shobha,2,a,ha,S
Charusheela,2,a,la,C
Suprabha,2,a,ha,S
Dishita,2,a,ta,D
Laasya,2,a,ya,L
Uttal,1,l,al,U
Charulata,2,a,ta,C
Paadini,2,i,ni,P
Suloch,2,h,ch,S
Arulchelvan,1,n,an,A
Hansika,2,a,ka,H
Sushil,1,l,il,S
Dhanesh,1,h,sh,D
Mayanka,1,a,ka,M
Manasyu,1,u,yu,M
Archa,2,a,ha,A
Trivid,1,d,id,T
Nisita,2,a,ta,N
Abhivira,1,a,ra,A
Akroor,1,r,or,A
Ekakshara,1,a,ra,E
Valli,2,i,li,V
Omala,2,a,la,O
Husna,2,a,na,H
Jaibhusana,1,a,na,J
Yashpal,1,l,al,Y
Sandeep,1,p,ep,S
Deeba,2,a,ba,D
Kamika,2,a,ka,K
Maitreya,1,a,ya,M
Champabati,2,i,ti,C
Shariba,2,a,ba,S
Kerani,2,i,ni,K
